"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"01.01.2022 00:00 - 01.01.2022 01:00","n/e","n/e","n/e","6304","6302","6302"
"01.01.2022 01:00 - 01.01.2022 02:00","n/e","n/e","n/e","6349","6427","6427"
"01.01.2022 02:00 - 01.01.2022 03:00","n/e","n/e","n/e","6353","6463","6463"
"01.01.2022 03:00 - 01.01.2022 04:00","n/e","n/e","n/e","6241","6282","6282"
"01.01.2022 04:00 - 01.01.2022 05:00","n/e","n/e","n/e","6258","5860","5860"
"01.01.2022 05:00 - 01.01.2022 06:00","n/e","n/e","n/e","6229","5889","5889"
"01.01.2022 06:00 - 01.01.2022 07:00","n/e","n/e","n/e","6185","5710","5710"
"01.01.2022 07:00 - 01.01.2022 08:00","n/e","n/e","n/e","6108","5640","5640"
"01.01.2022 08:00 - 01.01.2022 09:00","n/e","n/e","n/e","6066","5720","5540"
"01.01.2022 09:00 - 01.01.2022 10:00","n/e","n/e","n/e","5986","5831","5704"
"01.01.2022 10:00 - 01.01.2022 11:00","n/e","n/e","n/e","5748","5754","5270"
"01.01.2022 11:00 - 01.01.2022 12:00","n/e","n/e","n/e","5437","5595","4920"
"01.01.2022 12:00 - 01.01.2022 13:00","n/e","n/e","n/e","5075","5317","4504"
"01.01.2022 13:00 - 01.01.2022 14:00","n/e","n/e","n/e","4916","5119","4330"
"01.01.2022 14:00 - 01.01.2022 15:00","n/e","n/e","n/e","4889","5018","4124"
"01.01.2022 15:00 - 01.01.2022 16:00","n/e","n/e","n/e","4972","5035","4749"
"01.01.2022 16:00 - 01.01.2022 17:00","n/e","n/e","n/e","5172","5190","4878"
"01.01.2022 17:00 - 01.01.2022 18:00","n/e","n/e","n/e","5453","5384","5339"
"01.01.2022 18:00 - 01.01.2022 19:00","n/e","n/e","n/e","5782","5596","5650"
"01.01.2022 19:00 - 01.01.2022 20:00","n/e","n/e","n/e","5929","5848","6112"
"01.01.2022 20:00 - 01.01.2022 21:00","n/e","n/e","n/e","6087","5928","6509"
"01.01.2022 21:00 - 01.01.2022 22:00","n/e","n/e","n/e","6309","6059","6869"
"01.01.2022 22:00 - 01.01.2022 23:00","n/e","n/e","n/e","6316","6181","6945"
"01.01.2022 23:00 - 02.01.2022 00:00","n/e","n/e","n/e","6167","6290","6700"
"02.01.2022 00:00 - 02.01.2022 01:00","n/e","n/e","n/e","6667","6395","6395"
"02.01.2022 01:00 - 02.01.2022 02:00","n/e","n/e","n/e","6545","6440","6440"
"02.01.2022 02:00 - 02.01.2022 03:00","n/e","n/e","n/e","6261","6135","6135"
"02.01.2022 03:00 - 02.01.2022 04:00","n/e","n/e","n/e","5954","5942","5942"
"02.01.2022 04:00 - 02.01.2022 05:00","n/e","n/e","n/e","5599","5768","5768"
"02.01.2022 05:00 - 02.01.2022 06:00","n/e","n/e","n/e","5312","5721","5721"
"02.01.2022 06:00 - 02.01.2022 07:00","n/e","n/e","n/e","5101","5612","5612"
"02.01.2022 07:00 - 02.01.2022 08:00","n/e","n/e","n/e","4936","5367","5367"
"02.01.2022 08:00 - 02.01.2022 09:00","n/e","n/e","n/e","4800","5241","5164"
"02.01.2022 09:00 - 02.01.2022 10:00","n/e","n/e","n/e","4675","5098","4819"
"02.01.2022 10:00 - 02.01.2022 11:00","n/e","n/e","n/e","4413","4695","4498"
"02.01.2022 11:00 - 02.01.2022 12:00","n/e","n/e","n/e","4073","4323","4002"
"02.01.2022 12:00 - 02.01.2022 13:00","n/e","n/e","n/e","3703","3961","3766"
"02.01.2022 13:00 - 02.01.2022 14:00","n/e","n/e","n/e","3424","3580","3820"
"02.01.2022 14:00 - 02.01.2022 15:00","n/e","n/e","n/e","3243","3372","3565"
"02.01.2022 15:00 - 02.01.2022 16:00","n/e","n/e","n/e","3055","3380","3258"
"02.01.2022 16:00 - 02.01.2022 17:00","n/e","n/e","n/e","3008","3337","2983"
"02.01.2022 17:00 - 02.01.2022 18:00","n/e","n/e","n/e","3022","3252","2675"
"02.01.2022 18:00 - 02.01.2022 19:00","n/e","n/e","n/e","3102","3234","2645"
"02.01.2022 19:00 - 02.01.2022 20:00","n/e","n/e","n/e","3108","3175","2623"
"02.01.2022 20:00 - 02.01.2022 21:00","n/e","n/e","n/e","3098","3164","2525"
"02.01.2022 21:00 - 02.01.2022 22:00","n/e","n/e","n/e","3089","3214","2570"
"02.01.2022 22:00 - 02.01.2022 23:00","n/e","n/e","n/e","3132","3302","2654"
"02.01.2022 23:00 - 03.01.2022 00:00","n/e","n/e","n/e","3228","3377","2951"
"03.01.2022 00:00 - 03.01.2022 01:00","n/e","n/e","n/e","3191","3338","3338"
"03.01.2022 01:00 - 03.01.2022 02:00","n/e","n/e","n/e","3358","3413","3413"
"03.01.2022 02:00 - 03.01.2022 03:00","n/e","n/e","n/e","3611","3635","3635"
"03.01.2022 03:00 - 03.01.2022 04:00","n/e","n/e","n/e","3822","3691","3691"
"03.01.2022 04:00 - 03.01.2022 05:00","n/e","n/e","n/e","4051","3769","3769"
"03.01.2022 05:00 - 03.01.2022 06:00","n/e","n/e","n/e","4270","3923","3923"
"03.01.2022 06:00 - 03.01.2022 07:00","n/e","n/e","n/e","4474","3989","3989"
"03.01.2022 07:00 - 03.01.2022 08:00","n/e","n/e","n/e","4680","4396","4396"
"03.01.2022 08:00 - 03.01.2022 09:00","n/e","n/e","n/e","4896","4820","4943"
"03.01.2022 09:00 - 03.01.2022 10:00","n/e","n/e","n/e","5142","5177","5266"
"03.01.2022 10:00 - 03.01.2022 11:00","n/e","n/e","n/e","5184","5348","5248"
"03.01.2022 11:00 - 03.01.2022 12:00","n/e","n/e","n/e","5133","5367","5122"
"03.01.2022 12:00 - 03.01.2022 13:00","n/e","n/e","n/e","5061","5394","5312"
"03.01.2022 13:00 - 03.01.2022 14:00","n/e","n/e","n/e","5308","5611","5933"
"03.01.2022 14:00 - 03.01.2022 15:00","n/e","n/e","n/e","5657","5924","6349"
"03.01.2022 15:00 - 03.01.2022 16:00","n/e","n/e","n/e","5916","6249","6837"
"03.01.2022 16:00 - 03.01.2022 17:00","n/e","n/e","n/e","6490","6935","7089"
"03.01.2022 17:00 - 03.01.2022 18:00","n/e","n/e","n/e","7258","7730","7259"
