"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"01.01.2024 00:00 - 01.01.2024 00:15","n/e","n/e","n/e","4988","5218","5218"
"01.01.2024 00:15 - 01.01.2024 00:30","n/e","n/e","n/e","4939","5198","5198"
"01.01.2024 00:30 - 01.01.2024 00:45","n/e","n/e","n/e","4893","5175","5175"
"01.01.2024 00:45 - 01.01.2024 01:00","n/e","n/e","n/e","4848","5147","5147"
"01.01.2024 01:00 - 01.01.2024 01:15","n/e","n/e","n/e","4804","5299","5299"
"01.01.2024 01:15 - 01.01.2024 01:30","n/e","n/e","n/e","4762","5265","5265"
"01.01.2024 01:30 - 01.01.2024 01:45","n/e","n/e","n/e","4722","5227","5227"
"01.01.2024 01:45 - 01.01.2024 02:00","n/e","n/e","n/e","4682","5182","5182"
"01.01.2024 02:00 - 01.01.2024 02:15","n/e","n/e","n/e","4639","5416","5416"
"01.01.2024 02:15 - 01.01.2024 02:30","n/e","n/e","n/e","4602","5352","5352"
"01.01.2024 02:30 - 01.01.2024 02:45","n/e","n/e","n/e","4568","5291","5291"
"01.01.2024 02:45 - 01.01.2024 03:00","n/e","n/e","n/e","4538","5235","5235"
"01.01.2024 03:00 - 01.01.2024 03:15","n/e","n/e","n/e","4496","5391","5391"
"01.01.2024 03:15 - 01.01.2024 03:30","n/e","n/e","n/e","4482","5354","5354"
"01.01.2024 03:30 - 01.01.2024 03:45","n/e","n/e","n/e","4478","5325","5325"
"01.01.2024 03:45 - 01.01.2024 04:00","n/e","n/e","n/e","4485","5305","5305"
"01.01.2024 04:00 - 01.01.2024 04:15","n/e","n/e","n/e","4485","5160","5160"
"01.01.2024 04:15 - 01.01.2024 04:30","n/e","n/e","n/e","4509","5154","5154"
"01.01.2024 04:30 - 01.01.2024 04:45","n/e","n/e","n/e","4542","5153","5153"
"01.01.2024 04:45 - 01.01.2024 05:00","n/e","n/e","n/e","4581","5158","5158"
"01.01.2024 05:00 - 01.01.2024 05:15","n/e","n/e","n/e","4618","5181","5181"
"01.01.2024 05:15 - 01.01.2024 05:30","n/e","n/e","n/e","4665","5178","5178"
"01.01.2024 05:30 - 01.01.2024 05:45","n/e","n/e","n/e","4716","5183","5183"
"01.01.2024 05:45 - 01.01.2024 06:00","n/e","n/e","n/e","4770","5198","5198"
"01.01.2024 06:00 - 01.01.2024 06:15","n/e","n/e","n/e","4816","5175","5175"
"01.01.2024 06:15 - 01.01.2024 06:30","n/e","n/e","n/e","4884","5207","5207"
"01.01.2024 06:30 - 01.01.2024 06:45","n/e","n/e","n/e","4961","5247","5247"
"01.01.2024 06:45 - 01.01.2024 07:00","n/e","n/e","n/e","5045","5295","5295"
"01.01.2024 07:00 - 01.01.2024 07:15","n/e","n/e","n/e","5137","5377","5377"
"01.01.2024 07:15 - 01.01.2024 07:30","n/e","n/e","n/e","5222","5436","5436"
"01.01.2024 07:30 - 01.01.2024 07:45","n/e","n/e","n/e","5304","5496","5496"
"01.01.2024 07:45 - 01.01.2024 08:00","n/e","n/e","n/e","5381","5557","5557"
"01.01.2024 08:00 - 01.01.2024 08:15","n/e","n/e","n/e","5463","5530","5530"
