"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"01.01.2021 00:00 - 01.01.2021 01:00","n/e","n/e","n/e","8808","6993","6993"
"01.01.2021 01:00 - 01.01.2021 02:00","n/e","n/e","n/e","8946","7120","7120"
"01.01.2021 02:00 - 01.01.2021 03:00","n/e","n/e","n/e","9064","7218","7218"
"01.01.2021 03:00 - 01.01.2021 04:00","n/e","n/e","n/e","9442","7712","7712"
"01.01.2021 04:00 - 01.01.2021 05:00","n/e","n/e","n/e","9783","8584","8584"
"01.01.2021 05:00 - 01.01.2021 06:00","n/e","n/e","n/e","10074","9182","9182"
"01.01.2021 06:00 - 01.01.2021 07:00","n/e","n/e","n/e","10375","9366","9366"
"01.01.2021 07:00 - 01.01.2021 08:00","n/e","n/e","n/e","10577","9770","9770"
"01.01.2021 08:00 - 01.01.2021 09:00","n/e","n/e","n/e","10702","10132","10282"
"01.01.2021 09:00 - 01.01.2021 10:00","n/e","n/e","n/e","10832","10439","10788"
"01.01.2021 10:00 - 01.01.2021 11:00","n/e","n/e","n/e","10925","10555","10697"
"01.01.2021 11:00 - 01.01.2021 12:00","n/e","n/e","n/e","11067","10717","10514"
"01.01.2021 12:00 - 01.01.2021 13:00","n/e","n/e","n/e","11278","11071","11036"
"01.01.2021 13:00 - 01.01.2021 14:00","n/e","n/e","n/e","11392","11293","11729"
"01.01.2021 14:00 - 01.01.2021 15:00","n/e","n/e","n/e","11428","11597","11779"
"01.01.2021 15:00 - 01.01.2021 16:00","n/e","n/e","n/e","11538","11604","11754"
"01.01.2021 16:00 - 01.01.2021 17:00","n/e","n/e","n/e","11278","11056","11294"
"01.01.2021 17:00 - 01.01.2021 18:00","n/e","n/e","n/e","10816","10450","10562"
"01.01.2021 18:00 - 01.01.2021 19:00","n/e","n/e","n/e","10611","10205","10040"
"01.01.2021 19:00 - 01.01.2021 20:00","n/e","n/e","n/e","10538","10103","10205"
"01.01.2021 20:00 - 01.01.2021 21:00","n/e","n/e","n/e","10456","9941","10126"
"01.01.2021 21:00 - 01.01.2021 22:00","n/e","n/e","n/e","10352","9782","10300"
"01.01.2021 22:00 - 01.01.2021 23:00","n/e","n/e","n/e","10334","9706","10435"
"01.01.2021 23:00 - 02.01.2021 00:00","n/e","n/e","n/e","10365","9697","10150"
"02.01.2021 00:00 - 02.01.2021 01:00","n/e","n/e","n/e","9905","10263","10263"
"02.01.2021 01:00 - 02.01.2021 02:00","n/e","n/e","n/e","9845","10045","10045"
"02.01.2021 02:00 - 02.01.2021 03:00","n/e","n/e","n/e","9849","10279","10279"
"02.01.2021 03:00 - 02.01.2021 04:00","n/e","n/e","n/e","9738","10495","10495"
"02.01.2021 04:00 - 02.01.2021 05:00","n/e","n/e","n/e","9944","10522","10522"
"02.01.2021 05:00 - 02.01.2021 06:00","n/e","n/e","n/e","10101","10522","10522"
"02.01.2021 06:00 - 02.01.2021 07:00","n/e","n/e","n/e","10154","10861","10861"
"02.01.2021 07:00 - 02.01.2021 08:00","n/e","n/e","n/e","10146","11117","11117"
"02.01.2021 08:00 - 02.01.2021 09:00","n/e","n/e","n/e","10059","10880","11033"
"02.01.2021 09:00 - 02.01.2021 10:00","n/e","n/e","n/e","9900","10604","11414"
"02.01.2021 10:00 - 02.01.2021 11:00","n/e","n/e","n/e","10202","10766","11701"
"02.01.2021 11:00 - 02.01.2021 12:00","n/e","n/e","n/e","10650","11005","11639"
"02.01.2021 12:00 - 02.01.2021 13:00","n/e","n/e","n/e","10945","11433","12094"
"02.01.2021 13:00 - 02.01.2021 14:00","n/e","n/e","n/e","11138","11690","12155"
"02.01.2021 14:00 - 02.01.2021 15:00","n/e","n/e","n/e","11253","11768","12398"
"02.01.2021 15:00 - 02.01.2021 16:00","n/e","n/e","n/e","11355","11772","12308"
"02.01.2021 16:00 - 02.01.2021 17:00","n/e","n/e","n/e","11244","11592","12233"
"02.01.2021 17:00 - 02.01.2021 18:00","n/e","n/e","n/e","11024","11318","11745"
"02.01.2021 18:00 - 02.01.2021 19:00","n/e","n/e","n/e","10955","11108","11612"
"02.01.2021 19:00 - 02.01.2021 20:00","n/e","n/e","n/e","10879","11035","11649"
"02.01.2021 20:00 - 02.01.2021 21:00","n/e","n/e","n/e","10724","10873","11473"
"02.01.2021 21:00 - 02.01.2021 22:00","n/e","n/e","n/e","10633","10739","11288"
"02.01.2021 22:00 - 02.01.2021 23:00","n/e","n/e","n/e","10412","10576","11251"
"02.01.2021 23:00 - 03.01.2021 00:00","n/e","n/e","n/e","10185","10414","11112"
"03.01.2021 00:00 - 03.01.2021 01:00","n/e","n/e","n/e","10585","10944","10944"
"03.01.2021 01:00 - 03.01.2021 02:00","n/e","n/e","n/e","10410","10878","10878"
"03.01.2021 02:00 - 03.01.2021 03:00","n/e","n/e","n/e","10197","10719","10719"
"03.01.2021 03:00 - 03.01.2021 04:00","n/e","n/e","n/e","9960","10363","10363"
"03.01.2021 04:00 - 03.01.2021 05:00","n/e","n/e","n/e","9835","10275","10275"
"03.01.2021 05:00 - 03.01.2021 06:00","n/e","n/e","n/e","9764","10229","10229"
"03.01.2021 06:00 - 03.01.2021 07:00","n/e","n/e","n/e","9719","10129","10129"
"03.01.2021 07:00 - 03.01.2021 08:00","n/e","n/e","n/e","9472","9723","9723"
"03.01.2021 08:00 - 03.01.2021 09:00","n/e","n/e","n/e","9182","9430","9431"
"03.01.2021 09:00 - 03.01.2021 10:00","n/e","n/e","n/e","8787","9046","8913"
"03.01.2021 10:00 - 03.01.2021 11:00","n/e","n/e","n/e","8746","9250","8279"
"03.01.2021 11:00 - 03.01.2021 12:00","n/e","n/e","n/e","8931","9588","8432"
"03.01.2021 12:00 - 03.01.2021 13:00","n/e","n/e","n/e","9393","9966","8959"
"03.01.2021 13:00 - 03.01.2021 14:00","n/e","n/e","n/e","9700","9948","9585"
"03.01.2021 14:00 - 03.01.2021 15:00","n/e","n/e","n/e","9818","9811","10118"
"03.01.2021 15:00 - 03.01.2021 16:00","n/e","n/e","n/e","9668","9569","10140"
"03.01.2021 16:00 - 03.01.2021 17:00","n/e","n/e","n/e","9126","8969","9691"
"03.01.2021 17:00 - 03.01.2021 18:00","n/e","n/e","n/e","8598","8347","8769"
"03.01.2021 18:00 - 03.01.2021 19:00","n/e","n/e","n/e","8286","7946","8373"
