"MTU (CET/CEST)","Generation - Wind Offshore [MW] Day Ahead/ BZN|ES","Generation - Wind Offshore [MW] Intraday / BZN|ES","Generation - Wind Offshore [MW] Current / BZN|ES","Generation - Wind Onshore [MW] Day Ahead/ BZN|ES","Generation - Wind Onshore [MW] Intraday / BZN|ES","Generation - Wind Onshore [MW] Current / BZN|ES"
"01.01.2023 16:00 - 01.01.2023 16:15","n/e","n/e","n/e","9923","9789","6874"
"01.01.2023 16:15 - 01.01.2023 16:30","n/e","n/e","n/e","9968","9931","7082"
"01.01.2023 16:30 - 01.01.2023 16:45","n/e","n/e","n/e","10004","10025","7275"
"01.01.2023 16:45 - 01.01.2023 17:00","n/e","n/e","n/e","10034","10081","7456"
"01.01.2023 17:00 - 01.01.2023 17:15","n/e","n/e","n/e","10059","10121","6805"
"01.01.2023 17:15 - 01.01.2023 17:30","n/e","n/e","n/e","10083","10149","7026"
"01.01.2023 17:30 - 01.01.2023 17:45","n/e","n/e","n/e","10109","10183","7223"
"01.01.2023 17:45 - 01.01.2023 18:00","n/e","n/e","n/e","10140","10223","7400"
"01.01.2023 18:00 - 01.01.2023 18:15","n/e","n/e","n/e","10163","10270","7309"
"01.01.2023 18:15 - 01.01.2023 18:30","n/e","n/e","n/e","10204","10310","7497"
"01.01.2023 18:30 - 01.01.2023 18:45","n/e","n/e","n/e","10252","10344","7677"
"01.01.2023 18:45 - 01.01.2023 19:00","n/e","n/e","n/e","10304","10373","7844"
"01.01.2023 19:00 - 01.01.2023 19:15","n/e","n/e","n/e","10368","10407","9587"
"01.01.2023 19:15 - 01.01.2023 19:30","n/e","n/e","n/e","10412","10426","9521"
"01.01.2023 19:30 - 01.01.2023 19:45","n/e","n/e","n/e","10446","10440","9410"
"01.01.2023 19:45 - 01.01.2023 20:00","n/e","n/e","n/e","10472","10448","9288"
"01.01.2023 20:00 - 01.01.2023 20:15","n/e","n/e","n/e","10500","10469","10383"
"01.01.2023 20:15 - 01.01.2023 20:30","n/e","n/e","n/e","10515","10460","10309"
"01.01.2023 20:30 - 01.01.2023 20:45","n/e","n/e","n/e","10527","10439","10229"
"01.01.2023 20:45 - 01.01.2023 21:00","n/e","n/e","n/e","10535","10406","10153"
"01.01.2023 21:00 - 01.01.2023 21:15","n/e","n/e","n/e","10552","10386","10548"
"01.01.2023 21:15 - 01.01.2023 21:30","n/e","n/e","n/e","10546","10328","10517"
"01.01.2023 21:30 - 01.01.2023 21:45","n/e","n/e","n/e","10533","10256","10485"
"01.01.2023 21:45 - 01.01.2023 22:00","n/e","n/e","n/e","10512","10175","10455"
"01.01.2023 22:00 - 01.01.2023 22:15","n/e","n/e","n/e","10496","10089","10368"
"01.01.2023 22:15 - 01.01.2023 22:30","n/e","n/e","n/e","10462","10003","10355"
"01.01.2023 22:30 - 01.01.2023 22:45","n/e","n/e","n/e","10423","9920","10340"
"01.01.2023 22:45 - 01.01.2023 23:00","n/e","n/e","n/e","10377","9842","10323"
"01.01.2023 23:00 - 01.01.2023 23:15","n/e","n/e","n/e","10344","9759","10536"
"01.01.2023 23:15 - 01.01.2023 23:30","n/e","n/e","n/e","10284","9693","10525"
"01.01.2023 23:30 - 01.01.2023 23:45","n/e","n/e","n/e","10213","9633","10508"
"01.01.2023 23:45 - 02.01.2023 00:00","n/e","n/e","n/e","10127","9573","10478"
"02.01.2023 00:00 - 02.01.2023 00:15","n/e","n/e","n/e","8674","10816","10816"
"02.01.2023 00:15 - 02.01.2023 00:30","n/e","n/e","n/e","8619","10728","10728"
"02.01.2023 00:30 - 02.01.2023 00:45","n/e","n/e","n/e","8560","10628","10628"
"02.01.2023 00:45 - 02.01.2023 01:00","n/e","n/e","n/e","8495","10510","10510"
"02.01.2023 01:00 - 02.01.2023 01:15","n/e","n/e","n/e","8445","10320","10320"
"02.01.2023 01:15 - 02.01.2023 01:30","n/e","n/e","n/e","8362","10168","10168"
"02.01.2023 01:30 - 02.01.2023 01:45","n/e","n/e","n/e","8266","10006","10006"
"02.01.2023 01:45 - 02.01.2023 02:00","n/e","n/e","n/e","8160","9834","9834"
"02.01.2023 02:00 - 02.01.2023 02:15","n/e","n/e","n/e","8061","10425","10425"
